ContentID,Title,Type,Genre,Language,Country,Director,CastCount,ReleaseYear,AddedDate,RuntimeMinutes,EpisodeCount,AgeRating,IMDbScore,ViewsMillions,WatchHoursMillions,AvgCompletionPct,AwardsWon,ProductionCostCr,RevenueCr,SubscribersGainedThousands,TrendingStatus,CriticRating
CS-0001,Voyage Whispering II,Movie,Kids,Hindi,India,Akira Brown,3,2024,2020-04-28,149,1,U/A 13+,8.0,25.28,40.81,65,4,56.1,59.5,5873,Classic,7.4
CS-0002,Endless River: Reborn,Series,Kids,Korean,South Korea,Riya Patel,6,2017,2020-07-30,880,16,U/A 7+,6.8,24.13,244.2,69,0,43.6,33.6,-1000,New,6.2
CS-0003,Distant Letter of the North,Series,Romance,Telugu,India,Liam Iyer,4,2016,2020-08-29,300,12,U/A 16+,7.7,26.77,107.08,80,2,63.6,56.6,1016,Popular,6.9
CS-0004,Light Whispering,Series,Animation,English,Australia,Min-jun Khan,5,2020,2020-02-16,1400,40,U/A 7+,5.6,8.67,111.27,55,0,44.3,8.6,-1000,Trending,6.6
CS-0005,Game Quiet III,Stand-up,Comedy,Hindi,India,Yuki Yilmaz,13,2017,2021-04-20,87,1,U/A 13+,5.5,7.01,5.29,52,0,1.7,10.6,1976,Classic,4.8
CS-0006,Voyage Quiet of the Lost,Movie,Action,Tamil,India,Anand Iyer,6,2021,2020-05-07,109,1,U,5.8,9.02,9.83,60,0,39.9,5.4,1944,Popular,5.9
CS-0007,Hour Silent II,Movie,Animation,Turkish,Turkey,Anand Tanaka,7,2022,2022-09-10,146,1,U/A 13+,8.1,32.08,49.96,64,1,27.5,31.3,2090,Classic,6.8
CS-0008,Eternal Mountain: Reborn,Series,Kids,Telugu,India,Various,3,2023,2021-11-06,800,16,U/A 16+,8.3,38.39,327.59,64,4,8.0,74.5,5696,Popular,9.2
CS-0009,Mirror Sacred of the North,Stand-up,Sci-Fi,Hindi,India,Aylin Menon,10,2016,2021-04-09,75,1,U/A 7+,7.4,28.13,28.13,80,0,0.8,52.9,4292,Trending,5.9
CS-0010,City Quiet,Movie,Action,Bengali,India,Sanjay Sharma,3,2017,2020-09-17,88,1,U/A 7+,5.0,14.98,8.13,37,0,61.0,32.5,-1000,New,3.9
CS-0011,Broken Shadow,movie,Thriller,English,UK,Sanjay Tanaka,11,2024,2021-10-29,118,1,U/A 13+,7.2,13.75,15.95,59,0,18.2,19.6,-505,Classic,7.3
CS-0012,Storm Eternal,Movie,Reality,Bengali,India,Liam Sato,3,2023,2020-05-06,126,1,U/A 16+,6.6,3.59,4.15,55,1,0.5,4.0,2693,Trending,6.6
CS-0013,Verdict Forbidden of the North,Movie,Romance,Tamil,India,Karan Iyer,13,2023,2024-07-11,146,1,U/A 13+,7.0,24.74,47.56,79,0,67.7,22.9,734,New,5.8
CS-0014,Storm Whispering,Series,Comedy,English,UK,Various,14,2022,2021-03-25,528,24,U/A 13+,7.5,0.2,1.14,65,2,44.5,3.3,1487,Popular,7.1
CS-0015,Forbidden Verdict,Movie,Action,Hindi,India,Hyun Garcia,10,2018,2024-11-29,98,1,U,6.7,30.43,32.8,66,2,49.5,54.2,-1000,Classic,5.4
CS-0016,Hidden Cipher,Documentary,Action,Korean,South Korea,Mira Pillai,7,2016,2023-05-30,64,1,U/A 13+,7.8,20.68,14.34,65,3,9.8,47.2,-50000,Classic,7.3
CS-0017,Broken Light: Reborn,Movie,Comedy,English,USA,Hyun Patel,14,2019,2020-03-16,86,1,U,4.0,0.2,0.1,36,0,10.8,0.3,-301,Classic,1.7
CS-0018,Sacred Empire of the Lost,Series,Drama,Hindi,India,Various,8,2019,2022-06-01,176,8,U/A 16+,6.3,3.84,7.43,66,2,52.6,9.6,3517,Popular,6.2
CS-0019,Golden Shadow: Origins,Movie,Drama,English,USA,Hyun Bose,13,2022,2021-07-25,149,1,U/A 16+,7.0,28.84,55.86,78,2,49.4,38.5,5842,Popular,6.4
CS-0020,Hour Crimson II,Movie,Reality,Malayalam,India,Akira Yilmaz,6,2015,2024-08-16,150,1,U/A 16+,6.7,11.72,10.55,36,1,51.4,18.0,4942,Classic,4.8
CS-0021,Bright Hunter,Movie,Drama,Malayalam,India,Emre Menon,6,2018,2022-09-29,118,1,U,7.5,5.3,4.9,47,2,31.5,12.4,3014,Popular,7.9
CS-0022,Shattered Light III,Series,Reality,Malayalam,India,Asha Tanaka,7,2018,2020-06-07,560,16,U/A 13+,7.4,17.11,81.44,51,1,58.0,13.4,3297,Classic,8.6
CS-0023,Hidden Hour of Stone,Movie,Animation,Hindi,India,Mira Jones,6,2023,2022-07-09,119,1,U/A 13+,9.2,18.95,28.19,75,5,34.8,29.8,4503,Classic,8.4
CS-0024,Distant Game,Movie,Romance,Bengali,India,Asha Khan,8,2021,2021-12-05,133,1,U/A 13+,6.3,11.05,13.47,55,0,1.5,8.8,5573,Classic,5.3
CS-0025,Dark Cipher,Documentary,Romance,Hindi,India,Arjun Iyer,3,2019,2023-07-24,75,1,A,6.1,12.32,8.93,58,0,8.9,22.4,2014,New,6.7
CS-0026,Light Distant,Movie,Kids,Hindi,India,Carla Pillai,4,2022,2022-04-29,128,1,U/A 13+,6.0,8.53,13.47,74,0,20.4,8.4,-1000,Popular,5.9
CS-0027,Midnight Mirror: Origins,Movie,Kids,Hindi,India,Priya Lee,7,2016,2020-12-23,128,1,U/A 16+,6.6,19.55,25.02,60,0,70.1,23.7,3192,Classic,6.5
CS-0028,Shadow Hidden of Stone,Movie,Thriller,English,Australia,Hyun Park,10,2021,2021-10-01,87,1,U/A 7+,7.8,7.68,8.13,73,3,0.5,15.1,9432,Classic,8.5
CS-0029,River Whispering of Stone,Series,Animation,Hindi ,India,Various,7,2015,2020-01-03,600,24,U/A 16+,8.7,28.17,236.63,84,3,28.3,55.8,5301,Trending,7.7
CS-0030,Cipher Midnight: Reborn,Series,Thriller,Tamil,India,Various,3,2018,2023-01-25,360,8,U/A 16+,9.5,29.41,130.58,74,3,60.5,41.9,6816,Classic,10.0
CS-0031,Golden City III,Series,Action ,Hindi,India,Various,9,2018,2021-09-30,600,24,U/A 13+,7.3,30.11,159.58,53,4,40.7,34.8,3733,New,5.8
CS-0032,Last Echo III,Movie,Sci-Fi,Bengali,India,Mira Sharma,4,2016,2020-12-05,127,1,U/A 7+,4.7,0.2,0.15,36,0,38.1,0.4,3399,New,1.9
CS-0033,Broken Voyage,Movie,Romance,Korean,South Korea,James Kumar,10,2021,2020-06-28,91,1,U/A 16+,7.5,27.42,21.63,52,2,33.4,47.2,1142,Popular,6.5
CS-0034,Letter Sacred,Movie,Reality,Hindi,India,James Khan,9,2020,2021-07-18,123,1,U,6.2,10.83,6.44,29,0,3.7,6.9,2173,Classic,7.0
CS-0035,City Golden,Series,Comedy,Telugu,India,Various,4,2020,2024-10-29,350,10,U/A 16+,5.9,2.98,8.34,48,0,23.7,4.1,3356,New,6.2
CS-0036,Mirror Eternal of Sound,Movie,Horror,Tamil,India,Neha Pillai,6,2018,2024-03-11,153,1,U/A 16+,8.0,18.92,28.47,59,3,22.7,33.0,1794,Popular,8.9
CS-0037,Quiet Cipher: Origins,Stand-up,Kids,Telugu,India,Akira Menon,4,2016,2023-08-31,74,1,A,8.0,26.44,24.13,74,0,3.4,28.3,4343,Popular,8.7
CS-0038,Game The: Reborn,Movie,Reality,Kannada,India,Diego Jones,5,2020,2021-03-21,89,1,U/A 13+,9.7,34.61,40.56,79,5,58.7,64.4,7435,Popular,9.5
CS-0039,Hidden Bridge of Sound,Movie,Horror,Malayalam,India,Riya Yilmaz,6,2017,2023-08-02,153,1,U,7.9,30.97,44.23,56,3,19.7,38.6,10383,New,7.0
CS-0040,Bridge Silent III,Series,Horror,Telugu,India,Various,11,2020,2022-08-01,600,24,U,7.9,9.55,56.34,59,3,53.0,19.7,2387,Popular,8.5
CS-0041,Last Hour: Origins,Movie,Reality,Spanish,Spain,Kavya Brown,8,2021,2020-06-25,164,1,U/A 16+,8.2,14.97,31.1,76,1,26.3,21.8,3829,New,10.0
CS-0042,Endless Game: Origins,Movie,Sci-Fi,Hindi,India,Anand Lopez,10,2024,2022-07-22,155,1,U/A 16+,7.7,21.23,25.23,46,2,47.4,29.0,2229,Popular,8.3
CS-0043,Hour Quiet of Sound,Movie,Comedy,English,Canada,Sanjay Sharma,4,2016,2024-07-01,141,1,U/A 13+,6.8,11.88,21.5,77,3,24.1,13.1,6470,Classic,7.6
CS-0044,Distant Light: Origins,Stand-up,Comedy,Kannada,India,Akira Khan,12,2018,2020-05-14,67,1,U/A 16+,6.0,8.9,6.46,65,0,0.9,11.8,1402,New,8.3
CS-0045,Whispering Cipher,Series,Horror,Hindi,India,Various,8,2019,2020-08-23,528,24,U/A 16+,5.6,19.14,64.0,38,0,70.4,41.9,262,Classic,3.9
CS-0046,Frozen City of Sound,Stand-up,Romance,Korean,South Korea,Sophia Tanaka,8,2019,2021-09-27,85,1,A,8.2,34.8,22.18,45,4,1.5,68.5,5445,Classic,8.7
CS-0047,Last Promise of the Lost,Series,Romance ,Hindi,India,Vikram Brown,15,2020,2022-12-29,400,8,U/A 13+,7.7,24.89,109.52,66,1,113.7,44.6,4647,New,7.9
CS-0048,Verdict Whispering of Stone,Series,Reality,Japanese,Japan,Various,6,2022,2021-05-23,176,8,U,7.2,8.19,13.93,58,1,70.4,16.6,6519,Classic,7.0
CS-0049,Echo Forbidden III,Movie,Romance,Malayalam,India,Emre Khan,14,2022,2024-01-05,153,1,U,8.0,10.03,11.51,45,3,23.0,12.2,5106,Popular,8.6
CS-0050,Heir Lost of the Lost,Movie,Thriller,Hindi ,India,Carla Sato,10,2023,2020-02-01,106,1,U/A 13+,7.2,17.35,24.52,80,3,25.1,24.0,5066,Popular,6.3
CS-0051,Wild Witness,Documentary,Thriller,English,USA,Rohan Garcia,15,2024,2020-12-17,62,1,U,9.0,38.43,26.21,66,5,11.4,73.1,6438,Classic,8.2
CS-0052,Quiet River of the Lost,Movie,Thriller,Hindi,India,Vikram Sharma,8,2015,2024-10-02,166,1,U,5.3,4.9,4.61,34,0,36.3,9.1,-776,Popular,4.3
CS-0053,Verdict Forbidden II,Movie,Romance,Telugu ,India,Hyun Menon,7,2015,2024-06-03,137,1,U,6.5,11.58,14.01,53,0,9.7,22.3,745,New,6.0
CS-0054,Eternal Hour of Sound,Series,Kids,English,UK,Various,9,2019,2024-07-27,440,8,U/A 13+,10.9,31.14,203.24,89,3,25.4,72.6,3810,Popular,7.6
CS-0055,Broken Light of the Lost,Movie,Kids,Tamil,India,Emre Smith,5,2021,2024-12-15,165,1,U/A 13+,5.7,9.6,14.26,54,0,25.2,10.8,-713,Popular,6.2
CS-0056,Bright Diary: Origins,Documentary,Thriller,Tamil,India,Mira Pillai,13,2019,2021-09-09,234,6,U/A 16+,5.6,19.26,36.81,49,0,7.2,18.8,2914,Classic,5.1
CS-0057,Bridge Lost: Reborn,Movie,Action,English,Australia,Sophia Garcia,12,2022,2020-03-10,86,1,U/A 13+,7.4,5.5,3.55,45,2,25.6,11.6,3960,New,7.0
CS-0058,Diary Burning of the Lost,Documentary,Comedy,Malayalam,India,Yuki Kim,11,2022,2022-06-04,76,1,U/A 16+,4.6,7.42,5.17,55,0,2.3,11.9,-541,New,5.3
CS-0059,The Voyage of the Lost,Series,Action,Hindi,India,Various,13,2023,2021-03-22,200,8,U/A 13+,8.2,28.41,44.51,47,2,17.3,57.7,4754,New,5.8
CS-0060,Last Cipher of the North,Movie,Horror,Hindi,India,James Park,6,2016,2022-05-07,138,1,U/A 16+,8.4,18.61,22.26,52,4,44.4,29.1,11636,Classic,7.3
